run_id,started_at_utc,run_order,model,backend,prompt_size,rep,ambient_temp_c,start_cpu_temp_c,start_gpu_temp_c,idle_cooldown_s,warmup_completed,valid_power_samples,ttft_s,tps,max_cpu_temp,max_gpu_temp,delta_cpu_temp_c,delta_gpu_temp_c,dram_delta_mb,sys_energy_per_token_j,total_latency_s
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:23:00.694378+00:00,28,Phi-3-mini-4k-instruct,hybrid,medium,1,N/A,50.25000762939453,47.0,15,True,29,1.2338517999996839,27.626831676207875,53.00000762939453,50.0,2.75,3.0,42.44140625,1.9246656444826908,4.8535212999995565
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:23:34.226750+00:00,29,Llama-3.2-3B,hybrid,short,3,N/A,50.87500762939453,47.0,15,True,30,0.3016769000005297,24.032246083281148,52.12500762939453,51.0,1.25,4.0,47.23046875,1.6450120057998259,4.462752800000089
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:24:10.504394+00:00,30,Phi-3-mini-4k-instruct,npu,long,2,N/A,55.00000762939453,50.0,15,True,38,19.541648200000054,10.164286067204648,58.62500762939453,54.0,3.625,4.0,307.44140625,3.5961828836051217,29.380017499999667
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:25:03.561652+00:00,31,Llama-3.2-3B,gpu,short,3,N/A,56.00000762939453,51.0,15,True,52,1.8592212999992626,34.3,72.37500762939453,59.0,16.375,8.0,2223.84765625,2.3427689389337774,5.193659299999126
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:25:43.302093+00:00,32,Llama-3.2-3B,npu,short,1,N/A,56.75000762939453,51.0,15,True,31,0.31596129999888944,23.114291062265266,60.25000762939453,54.0,3.5,3.0,33.62890625,2.1380432869683887,4.642289100000198
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:26:13.688757+00:00,33,Phi-3-mini-4k-instruct,gpu,medium,1,N/A,54.25000762939453,50.0,15,True,90,3.853846500000145,20.3,72.50000762939453,59.0,18.25,9.0,4325.390625,4.067234070914449,9.439016700000138
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:26:47.263614+00:00,34,Phi-3-mini-4k-instruct,hybrid,short,2,N/A,55.75000762939453,53.0,15,True,25,0.42170009999972535,30.321579759162304,82.375,63.0,26.62499237060547,10.0,97.953125,2.6410233449595295,3.719681299999138
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:27:25.634624+00:00,35,Phi-3-mini-4k-instruct,npu,short,3,N/A,88.25,64.0,15,True,42,0.13863380000111647,16.281659952353593,87.5,64.0,-0.75,0.0,144.34765625,3.3443998407858646,6.280513700001393
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:27:55.886277+00:00,36,Llama-3.2-3B,gpu,short,2,N/A,53.12500762939453,49.0,15,True,51,1.8419841000013548,34.8,67.25000762939453,60.0,14.125,11.0,2179.140625,2.153658499151233,5.03440640000008
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:28:32.412091+00:00,37,Llama-3.2-3B,hybrid,medium,2,N/A,56.00000762939453,50.0,15,True,26,0.8225664000001416,21.482888610679602,66.37500762939453,56.0,10.375,6.0,739.15234375,2.760694494231524,5.477433900001415
